pair_id,deepseek_type
0,No_Contradiction
1,No_Contradiction
2,No_Contradiction
3,No_Contradiction
4,No_Contradiction
5,No_Contradiction
6,Scientific_Dispute
7,No_Contradiction
8,Scientific_Dispute
9,No_Contradiction
10,No_Contradiction
11,Scientific_Dispute
12,Scientific_Dispute
13,Scientific_Dispute
14,Scientific_Dispute
15,No_Contradiction
16,Scientific_Dispute
17,No_Contradiction
18,Scientific_Dispute
19,Scientific_Dispute
20,Scientific_Dispute
21,No_Contradiction
22,No_Contradiction
23,Scientific_Dispute
24,No_Contradiction
25,No_Contradiction
26,No_Contradiction
27,Scientific_Dispute
28,No_Contradiction
29,Scientific_Dispute
30,Scientific_Dispute
31,Scientific_Dispute
32,Scientific_Dispute
33,No_Contradiction
34,No_Contradiction
35,No_Contradiction
36,No_Contradiction
37,No_Contradiction
38,No_Contradiction
39,No_Contradiction
40,No_Contradiction
41,No_Contradiction
42,No_Contradiction
43,No_Contradiction
44,No_Contradiction
45,No_Contradiction
46,No_Contradiction
47,No_Contradiction
48,No_Contradiction
49,No_Contradiction
50,No_Contradiction
51,No_Contradiction
52,No_Contradiction
53,No_Contradiction
54,No_Contradiction
55,No_Contradiction
56,No_Contradiction
57,No_Contradiction
58,No_Contradiction
59,No_Contradiction
60,No_Contradiction
61,No_Contradiction
62,No_Contradiction
63,No_Contradiction
64,No_Contradiction
65,No_Contradiction
66,No_Contradiction
67,No_Contradiction
68,No_Contradiction
69,No_Contradiction
70,No_Contradiction
71,No_Contradiction
72,No_Contradiction
73,No_Contradiction
74,No_Contradiction
75,No_Contradiction
76,No_Contradiction
77,No_Contradiction
78,No_Contradiction
79,No_Contradiction
80,No_Contradiction
81,No_Contradiction
82,No_Contradiction
83,No_Contradiction
84,No_Contradiction
85,No_Contradiction
86,No_Contradiction
87,No_Contradiction
88,No_Contradiction
89,No_Contradiction
90,No_Contradiction
91,No_Contradiction
92,No_Contradiction
93,No_Contradiction
94,No_Contradiction
95,No_Contradiction
96,No_Contradiction
97,No_Contradiction
98,No_Contradiction
99,No_Contradiction
100,No_Contradiction
101,No_Contradiction
102,No_Contradiction
103,No_Contradiction
104,No_Contradiction
105,No_Contradiction
106,No_Contradiction
107,No_Contradiction
108,No_Contradiction
109,No_Contradiction
110,No_Contradiction
111,No_Contradiction
112,No_Contradiction
113,No_Contradiction
114,No_Contradiction
115,No_Contradiction
116,No_Contradiction
117,No_Contradiction
118,No_Contradiction
119,No_Contradiction
120,No_Contradiction
121,No_Contradiction
122,No_Contradiction
123,No_Contradiction
124,No_Contradiction
125,No_Contradiction
126,No_Contradiction
127,No_Contradiction
128,No_Contradiction
129,No_Contradiction
130,No_Contradiction
131,No_Contradiction
132,No_Contradiction
133,No_Contradiction
134,No_Contradiction
135,No_Contradiction
136,No_Contradiction
137,No_Contradiction
138,No_Contradiction
139,No_Contradiction
140,No_Contradiction
141,No_Contradiction
142,No_Contradiction
143,No_Contradiction
144,No_Contradiction
145,No_Contradiction
146,No_Contradiction
147,No_Contradiction
148,No_Contradiction
149,No_Contradiction
150,No_Contradiction
151,No_Contradiction
152,No_Contradiction
153,No_Contradiction
154,No_Contradiction
155,No_Contradiction
156,No_Contradiction
157,No_Contradiction
158,No_Contradiction
159,No_Contradiction
160,No_Contradiction
161,No_Contradiction
162,No_Contradiction
163,No_Contradiction
164,No_Contradiction
165,No_Contradiction
166,No_Contradiction
167,No_Contradiction
168,No_Contradiction
169,No_Contradiction
170,No_Contradiction
171,No_Contradiction
172,No_Contradiction
173,No_Contradiction
174,No_Contradiction
175,No_Contradiction
176,No_Contradiction
177,No_Contradiction
178,No_Contradiction
179,No_Contradiction
180,No_Contradiction
181,No_Contradiction
182,No_Contradiction
183,No_Contradiction
184,No_Contradiction
185,No_Contradiction
186,No_Contradiction
187,No_Contradiction
188,No_Contradiction
189,No_Contradiction
190,No_Contradiction
191,No_Contradiction
192,No_Contradiction
193,No_Contradiction
194,No_Contradiction
195,No_Contradiction
196,No_Contradiction
197,No_Contradiction
198,No_Contradiction
199,No_Contradiction
200,No_Contradiction
201,No_Contradiction
202,No_Contradiction
203,No_Contradiction
204,No_Contradiction
205,No_Contradiction
206,No_Contradiction
207,No_Contradiction
208,No_Contradiction
209,No_Contradiction
210,No_Contradiction
211,No_Contradiction
212,No_Contradiction
213,No_Contradiction
214,No_Contradiction
215,No_Contradiction
216,No_Contradiction
217,No_Contradiction
218,No_Contradiction
219,No_Contradiction
220,No_Contradiction
221,No_Contradiction
222,No_Contradiction
223,No_Contradiction
224,No_Contradiction
225,No_Contradiction
226,No_Contradiction
227,No_Contradiction
228,No_Contradiction
229,No_Contradiction
230,No_Contradiction
231,No_Contradiction
232,No_Contradiction
233,No_Contradiction
234,No_Contradiction
235,No_Contradiction
236,No_Contradiction
237,No_Contradiction
238,No_Contradiction
239,No_Contradiction
240,No_Contradiction
241,No_Contradiction
242,No_Contradiction
243,No_Contradiction
244,No_Contradiction
245,No_Contradiction
246,No_Contradiction
247,No_Contradiction
248,No_Contradiction
249,No_Contradiction
250,No_Contradiction
251,No_Contradiction
252,No_Contradiction
253,No_Contradiction
254,No_Contradiction
255,No_Contradiction
256,No_Contradiction
257,No_Contradiction
258,No_Contradiction
259,No_Contradiction
260,No_Contradiction
261,No_Contradiction
262,No_Contradiction
263,No_Contradiction
264,No_Contradiction
265,No_Contradiction
266,No_Contradiction
267,No_Contradiction
268,No_Contradiction
269,No_Contradiction
270,No_Contradiction
271,No_Contradiction
272,No_Contradiction
273,No_Contradiction
274,No_Contradiction
275,No_Contradiction
276,No_Contradiction
277,No_Contradiction
278,No_Contradiction
279,No_Contradiction
280,No_Contradiction
281,No_Contradiction
282,No_Contradiction
283,No_Contradiction
284,No_Contradiction
285,No_Contradiction
286,No_Contradiction
287,No_Contradiction
288,No_Contradiction
289,No_Contradiction
290,No_Contradiction
291,No_Contradiction
292,No_Contradiction
293,No_Contradiction
294,No_Contradiction
295,No_Contradiction
296,No_Contradiction
297,No_Contradiction
298,No_Contradiction
299,No_Contradiction
300,No_Contradiction
301,No_Contradiction
302,No_Contradiction
303,No_Contradiction
304,No_Contradiction
305,No_Contradiction
306,No_Contradiction
307,No_Contradiction
308,No_Contradiction
309,No_Contradiction
310,No_Contradiction
311,No_Contradiction
312,No_Contradiction
313,No_Contradiction
314,No_Contradiction
315,No_Contradiction
316,No_Contradiction
317,No_Contradiction
318,No_Contradiction
319,No_Contradiction
320,No_Contradiction
321,No_Contradiction
322,No_Contradiction
323,No_Contradiction
324,No_Contradiction
325,No_Contradiction
326,No_Contradiction
327,No_Contradiction
328,No_Contradiction
329,No_Contradiction
330,No_Contradiction
331,No_Contradiction
332,No_Contradiction
333,No_Contradiction
334,No_Contradiction
335,No_Contradiction
336,No_Contradiction
337,No_Contradiction
338,No_Contradiction
339,No_Contradiction
340,No_Contradiction
341,No_Contradiction
342,No_Contradiction
343,No_Contradiction
344,No_Contradiction
345,No_Contradiction
346,No_Contradiction
347,No_Contradiction
348,No_Contradiction
349,No_Contradiction
350,No_Contradiction
351,No_Contradiction
352,No_Contradiction
353,No_Contradiction
354,No_Contradiction
355,No_Contradiction
356,No_Contradiction
357,No_Contradiction
358,No_Contradiction
359,No_Contradiction
360,No_Contradiction
361,No_Contradiction
362,No_Contradiction
363,No_Contradiction
364,No_Contradiction
365,No_Contradiction
366,No_Contradiction
367,No_Contradiction
368,No_Contradiction
369,No_Contradiction
370,No_Contradiction
371,No_Contradiction
372,No_Contradiction
373,No_Contradiction
374,No_Contradiction
375,No_Contradiction
376,No_Contradiction
377,No_Contradiction
378,No_Contradiction
379,No_Contradiction
380,No_Contradiction
381,No_Contradiction
382,No_Contradiction
383,No_Contradiction
384,No_Contradiction
385,No_Contradiction
386,No_Contradiction
387,No_Contradiction
388,No_Contradiction
389,No_Contradiction
390,No_Contradiction
391,No_Contradiction
392,No_Contradiction
393,No_Contradiction
394,No_Contradiction
395,No_Contradiction
396,No_Contradiction
397,No_Contradiction
